2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:05.6301–TRACE–2023/11/15 17:28:05:6340| 0| COM88| S | CommandID     39| FA52030101
2023-11-15 17:28:05.6586–TRACE–2023/11/15 17:28:05:6586| 0| COM88| R | CommandID     39| FA0303000D0A
2023-11-15 17:28:05.6724–TRACE–2023/11/15 17:28:05:6724| 0| COM88| S | CommandID     40| FA52010402
2023-11-15 17:28:05.7073–TRACE–2023/11/15 17:28:05:7072| 0| COM88| R | CommandID     40| FA010400890D0A
2023-11-15 17:28:05.7073–TRACE–2023/11/15 17:28:05:7109| 0| COM88| S | CommandID     41| FA52020402
2023-11-15 17:28:05.7394–TRACE–2023/11/15 17:28:05:7394| 0| COM88| R | CommandID     41| FA020400870D0A
2023-11-15 17:28:05.7394–TRACE–2023/11/15 17:28:05:7430| 0| COM88| S | CommandID     42| FA52030402
2023-11-15 17:28:05.7705–TRACE–2023/11/15 17:28:05:7705| 0| COM88| R | CommandID     42| FA030400870D0A
2023-11-15 17:28:05.7705–TRACE–2023/11/15 17:28:05:7746| 0| COM88| S | CommandID     43| FA52010403
2023-11-15 17:28:05.7986–TRACE–2023/11/15 17:28:05:7986| 0| COM88| R | CommandID     43| FA01054355550D0A
2023-11-15 17:28:05.7986–TRACE–2023/11/15 17:28:05:8030| 0| COM88| S | CommandID     44| FA52020403
2023-11-15 17:28:05.8297–TRACE–2023/11/15 17:28:05:8297| 0| COM88| R | CommandID     44| FA02054355550D0A
2023-11-15 17:28:05.8297–TRACE–2023/11/15 17:28:05:8334| 0| COM88| S | CommandID     45| FA52030403
2023-11-15 17:28:05.8581–TRACE–2023/11/15 17:28:05:8581| 0| COM88| R | CommandID     45| FA03054359550D0A
2023-11-15 17:28:05.8581–TRACE–2023/11/15 17:28:05:8612| 0| COM88| S | CommandID     46| FA52010404
2023-11-15 17:28:05.8756–TRACE–2023/11/15 17:28:05:8755| 0| COM88| R | CommandID     46| FA01034B0D0A
2023-11-15 17:28:05.8756–TRACE–2023/11/15 17:28:05:8801| 0| COM88| S | CommandID     47| FA52020404
2023-11-15 17:28:05.9084–TRACE–2023/11/15 17:28:05:9084| 0| COM88| R | CommandID     47| FA02034B0D0A
2023-11-15 17:28:05.9084–TRACE–2023/11/15 17:28:05:9116| 0| COM88| S | CommandID     48| FA52030404
2023-11-15 17:28:05.9416–TRACE–2023/11/15 17:28:05:9416| 0| COM88| R | CommandID     48| FA03034B0D0A
2023-11-15 17:28:05.9416–TRACE–2023/11/15 17:28:05:9455| 0| COM88| S | CommandID     49| FA52010405
