*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/29 11:52:34:0933,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:34:2179,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:35:0594,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:35:1997,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:35:3343,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:37:1066,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:37:2399,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:37:3718,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:38:2154,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:38:3477,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:38:4794,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:40:2852,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:40:4237,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:40:5366,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:41:4631,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:41:5970,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:41:7318,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:43:4579,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:43:5767,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:43:6960,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:44:6504,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:44:7943,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:44:9293,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:46:6429,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:46:7888,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:46:9132,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:47:7828,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:47:9186,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:48:0660,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:49:8131,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:49:9390,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:50:0866,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:51:0839,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:51:2325,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:51:3569,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:53:0165,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:53:1687,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:53:3259,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:54:2789,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:54:4308,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:54:5648,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:56:2036,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:56:3651,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:56:4892,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:57:5170,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:57:6627,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:57:7992,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:59:4194,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:59:5503,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:59:6846,,,,NULL,FA 52 03 04 01,
2023/12/29 11:53:00:7141,,,,NULL,FA 52 01 06 01,
2023/12/29 11:53:00:8571,,,,NULL,FA 52 02 06 01,
2023/12/29 11:53:00:9999,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:53:02:6039,,,,NULL,FA 52 01 04 01,
2023/12/29 11:53:02:7607,,,,NULL,FA 52 02 04 01,
2023/12/29 11:53:02:8887,,,,NULL,FA 52 03 04 01,
2023/12/29 11:53:03:9348,,,,NULL,FA 52 01 06 01,
2023/12/29 11:53:04:0696,,,,NULL,FA 52 02 06 01,
2023/12/29 11:53:04:2162,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:53:05:7661,,,,NULL,FA 52 01 04 01,
2023/12/29 11:53:05:9117,,,,NULL,FA 52 02 04 01,
